ID,Species,Group,Area,Survey,Type,Value,Harbour,POINT_X,POINT_Y
1932,Western Sandpiper,Shorebirds,A,Mar-98,Density,NA,Sooke,449715.5348,5359416.607
1933,California Gull,Gulls and Terns,A,Mar-98,Density,NA,Sooke,450899.5189,5358531.502
1934,Glaucous-winged Gull,Gulls and Terns,A,Mar-98,Density,123.2,Esquimalt,466981.6692,5365589.186
1935,Belted Kingfisher,Kingfishers,A,Mar-98,Density,NA,Esquimalt,467281.0084,5364450.815
1936,Double-crested Cormorant,Cormorants,B,Mar-98,Density,415.9,Sooke,450085.63,5357718.037
1937,Great Blue Heron,Herons,B,Mar-98,Density,NA,Sooke,450176.6981,5359565.778
1938,Trumpeter Swan,Waterfowl,B,Mar-98,Density,14,Sooke,450555.6254,5358476.565
1939,Canada Goose,Waterfowl,B,Mar-98,Density,102.8,Esquimalt,467045.0152,5366724.609
1940,Mallard,Waterfowl,B,Mar-98,Density,299.1,Sooke,451239.648,5359291.813
1941,Eurasian Wigeon,Waterfowl,B,Mar-98,Density,NA,Sooke,450842.7933,5358065.511
1942,American Wigeon,Waterfowl,B,Mar-98,Density,219.6,Esquimalt,466919.8104,5365701.984
1943,Canvasback,Waterfowl,B,Mar-98,Density,4.7,Esquimalt,467119.7066,5365569.537
1944,Greater Scaup,Waterfowl,B,Mar-98,Density,NA,Sooke,450673.6485,5357497.763
1945,scaup sp.,Waterfowl,B,Mar-98,Density,42.1,Sooke,451947.7273,5357762.884
1946,Bufflehead,Waterfowl,B,Mar-98,Density,140.2,Sooke,451294.7983,5359869.105
1947,Hooded Merganser,Waterfowl,B,Mar-98,Density,NA,Sooke,452361.6486,5358789.772
1948,Common Merganser,Waterfowl,B,Mar-98,Density,9.3,Esquimalt,467551.5605,5364808.007
1949,Red-breasted Merganser,Waterfowl,B,Mar-98,Density,NA,Sooke,450756.4552,5358188.335
1950,Western Sandpiper,Shorebirds,B,Mar-98,Density,NA,Sooke,452669.0282,5357119.562
1951,Least Sandpiper,Shorebirds,B,Mar-98,Density,NA,Sooke,451232.8266,5359735.311
1952,Mew Gull,Gulls and Terns,B,Mar-98,Density,4.7,Sooke,452576.7877,5358132.979
1953,California Gull,Gulls and Terns,B,Mar-98,Density,NA,Esquimalt,468183.4315,5364922.904
1954,Glaucous-winged Gull,Gulls and Terns,B,Mar-98,Density,84.1,Esquimalt,467179.1543,5365356.676
1955,Belted Kingfisher,Kingfishers,B,Mar-98,Density,NA,Sooke,452493.446,5358522.712
1956,Red-throated Loon,Loons and Grebes,All,May-98,Density,NA,Esquimalt,467847.3372,5366012.513
1957,Pacific Loon,Loons and Grebes,All,May-98,Density,0.1,Sooke,451931.2919,5357755.756
1958,Common Loon,Loons and Grebes,All,May-98,Density,0.2,Esquimalt,466870.0134,5365686.493
1959,Yellow-billed Loon,Loons and Grebes,All,May-98,Density,NA,Sooke,451641.316,5357500.965
1960,Pied--bllled Grebe,Loons and Grebes,All,May-98,Density,NA,Esquimalt,467343.6304,5365817.41
1961,Eared Grebe,Loons and Grebes,All,May-98,Density,NA,Esquimalt,468147.6533,5364883.454
1962,Red-necked Grebe,Loons and Grebes,All,May-98,Density,NA,Esquimalt,467860.1682,5365921.766
1963,Horned Grebe,Loons and Grebes,All,May-98,Density,NA,Sooke,451298.9512,5358287.496
1964,Western Grebe,Loons and Grebes,All,May-98,Density,NA,Sooke,452380.6407,5359029.83
1965,Double-crested Cormorant,Cormorants,All,May-98,Density,1.8,Sooke,451521.137,5358125.245
1966,Brandt's Cormorant,Cormorants,All,May-98,Density,NA,Esquimalt,466931.8178,5366595.741
1967,Pelagic Cormorant,Cormorants,All,May-98,Density,NA,Esquimalt,467929.9197,5364622.952
1968,Great Blue Heron,Herons,All,May-98,Density,1.7,Sooke,450729.6888,5357900.12
1969,Mute Swan,Waterfowl,All,May-98,Density,0.6,Esquimalt,467146.9502,5364637.92
1970,Trumpeter Swan,Waterfowl,All,May-98,Density,NA,Sooke,451087.2285,5358790.606
1971,Canada Goose,Waterfowl,All,May-98,Density,6.8,Sooke,450224.396,5357986.406
1972,Brant,Waterfowl,All,May-98,Density,NA,Sooke,450254.5593,5359506.866
1973,Wood Duck,Waterfowl,All,May-98,Density,0.2,Sooke,450736.1604,5359412.834
1974,Green-winged Teal,Waterfowl,All,May-98,Density,0.2,Sooke,450595.199,5359439.204
1975,Gadwall,Waterfowl,All,May-98,Density,NA,Sooke,450758.8556,5357300.116
1976,Mallard,Waterfowl,All,May-98,Density,15,Sooke,450448.0214,5358546.945
1977,Northern Pintail,Waterfowl,All,May-98,Density,NA,Sooke,450585.5898,5357874.768
1978,Eurasian Wigeon,Waterfowl,All,May-98,Density,NA,Sooke,449816.9374,5358692.879
1979,American Wigeon,Waterfowl,All,May-98,Density,NA,Sooke,452301.4689,5358424.995
1980,Canvasback,Waterfowl,All,May-98,Density,NA,Sooke,452712.6627,5358146.56
1981,Greater Scaup,Waterfowl,All,May-98,Density,1.1,Esquimalt,467167.2561,5366595.075
1982,Lesser Scaup,Waterfowl,All,May-98,Density,NA,Esquimalt,467310.4546,5364695.2
1983,scaup sp.,Waterfowl,All,May-98,Density,NA,Sooke,450418.3629,5359182.152
1984,Harlequin Duck,Waterfowl,All,May-98,Density,NA,Esquimalt,467312.911,5366215.077
1985,Oldsquaw,Waterfowl,All,May-98,Density,NA,Sooke,452875.0917,5358601.613
1986,Surf Seater,Waterfowl,All,May-98,Density,0.5,Sooke,449954.8604,5357642.992
1987,White-w inged Scoter,Waterfowl,All,May-98,Density,0.3,Sooke,450891.5423,5358530.731
1988,Common Goldeneye,Waterfowl,All,May-98,Density,0.7,Esquimalt,466487.5221,5366687.786
1989,Bufflehead,Waterfowl,All,May-98,Density,0.2,Sooke,452418.2452,5357549.48
1990,Hooded Merganser,Waterfowl,All,May-98,Density,NA,Sooke,450716.018,5357521.827
1991,Common Merganser,Waterfowl,All,May-98,Density,NA,Esquimalt,467364.8488,5364995.813
1992,Red-breasted Merganser,Waterfowl,All,May-98,Density,NA,Esquimalt,466722.7574,5366167.321
1993,American Coot,Coots,All,May-98,Density,NA,Esquimalt,467311.9105,5366044.389
1994,Semipalmated Plover,Shorebirds,All,May-98,Density,NA,Esquimalt,467586.5677,5366108.336
1995,Killdeer,Shorebirds,All,May-98,Density,NA,Esquimalt,467771.9316,5365000.315
1996,Black-bellied Plover,Shorebirds,All,May-98,Density,NA,Esquimalt,467722.3324,5366098.645
1997,Black Oystercatcher,Shorebirds,All,May-98,Density,0.4,Sooke,451806.6625,5357601.963
1998,Greater Yellowlegs,Shorebirds,All,May-98,Density,0.1,Esquimalt,467020.0621,5365120.555
1999,Ruddy Turnstone,Shorebirds,All,May-98,Density,NA,Esquimalt,467605.2378,5365233.004
2000,Black Turnstone,Shorebirds,All,May-98,Density,NA,Sooke,450381.3715,5357532.478
2001,Dunlin,Shorebirds,All,May-98,Density,0.4,Sooke,452527.0286,5357358.02
2002,Western Sandpiper,Shorebirds,All,May-98,Density,5,Esquimalt,468560.5937,5364544.494
2003,Least Sandpiper,Shorebirds,All,May-98,Density,NA,Esquimalt,467448.0502,5365058.739
2004,Sanderllng,Shorebirds,All,May-98,Density,NA,Sooke,452747.3341,5359186.826
2005,Short-billed Dowitcher,Shorebirds,All,May-98,Density,NA,Sooke,451986.1759,5357862.478
2006,Common Snipe,Shorebirds,All,May-98,Density,NA,Esquimalt,467687.7862,5364912.014
2007,Red-necked Phalarope,Shorebirds,All,May-98,Density,NA,Sooke,452111.9334,5358348.633
2008,Bonaparte's Gull,Gulls and Terns,All,May-98,Density,11.7,Esquimalt,467103.6575,5365114.245
2009,Heermann's Gull,Gulls and Terns,All,May-98,Density,NA,Sooke,450438.8943,5358222.2
2010,Mew Gull,Gulls and Terns,All,May-98,Density,2.2,Esquimalt,467827.1868,5366156.833
2011,California Gull,Gulls and Terns,All,May-98,Density,NA,Sooke,451472.347,5359491.972
2012,Thayer's Gull,Gulls and Terns,All,May-98,Density,NA,Sooke,451342.1579,5358541.162
2013,Glaucous-winged Gull,Gulls and Terns,All,May-98,Density,30,Sooke,450629.8,5357838.787
2014,Western Gull,Gulls and Terns,All,May-98,Density,NA,Sooke,449933.1771,5359582.38
2015,gull sp.,Gulls and Terns,All,May-98,Density,NA,Esquimalt,467068.0402,5365402.858
2016,Caspian Tern,Gulls and Terns,All,May-98,Density,NA,Esquimalt,466902.5952,5364850.35
2017,Common Murra,Auks,All,May-98,Density,NA,Sooke,451722.1336,5358206.327
2018,Pigeon Guillemot,Auks,All,May-98,Density,0.2,Esquimalt,466131.9252,5367036.696
2019,Marbled Murrrelet,Auks,All,May-98,Density,NA,Sooke,452714.254,5358726.333
2020,Cassln's Auklet,Auks,All,May-98,Density,NA,Esquimalt,467098.0688,5365637.981
2021,Rhinoceros Auklet,Auks,All,May-98,Density,0.1,Sooke,452270.4799,5359318.485
2022,Pied-billed Grebe,Loons and Grebes,A,May-98,Density,NA,Sooke,452614.7167,5359269.851
2023,Horned Grebe,Loons and Grebes,A,May-98,Density,NA,Sooke,451799.8991,5357961.827
2024,Western Grebe,Loons and Grebes,A,May-98,Density,NA,Sooke,449548.6073,5359274.335
2025,Double-crested Cormorant,Cormorants,A,May-98,Density,8.5,Esquimalt,467713.6066,5364774.754
2026,Great Blue Heron,Herons,A,May-98,Density,6.1,Esquimalt,466624.1123,5366509.495
2027,Mute Swan,Waterfowl,A,May-98,Density,NA,Esquimalt,467944.854,5365733.292
2028,Canada Goose,Waterfowl,A,May-98,Density,25.6,Sooke,449969.6475,5359399.073
2029,Wood Duck,Waterfowl,A,May-98,Density,2.4,Esquimalt,467779.6347,5365051.151
2030,Green-winged Teal,Waterfowl,A,May-98,Density,2.4,Esquimalt,468097.8974,5364496.19
2031,Gadwall,Waterfowl,A,May-98,Density,NA,Esquimalt,467617.3271,5365131.418
2032,Mallard,Waterfowl,A,May-98,Density,135.4,Sooke,452747.456,5359062.46
2033,Northern Pintail,Waterfowl,A,May-98,Density,NA,Esquimalt,467169.0548,5366553.545
2034,Eurasian Wigeon,Waterfowl,A,May-98,Density,NA,Sooke,452539.0779,5357906.7
2035,American Wigeon,Waterfowl,A,May-98,Density,NA,Esquimalt,467124.0927,5364436.796
2036,Canvasback,Waterfowl,A,May-98,Density,NA,Esquimalt,468729.243,5364590.438
2037,Greater Scaup,Waterfowl,A,May-98,Density,13.4,Esquimalt,467922.8483,5365056.662
2038,Lesser Scaup,Waterfowl,A,May-98,Density,NA,Sooke,449831.6453,5358807.592
2039,Scaup sp.,Waterfowl,A,May-98,Density,NA,Sooke,452780.4486,5359566.876
2040,Surf Scoter,Waterfowl,A,May-98,Density,NA,Esquimalt,466900.7731,5365819.578
2041,Common Goldeneye,Waterfowl,A,May-98,Density,8.5,Sooke,452324.1711,5359265.528
2042,Bufflehead,Waterfowl,A,May-98,Density,2.4,Esquimalt,467078.1295,5366074.98
2043,Hooded Merganser,Waterfowl,A,May-98,Density,NA,Esquimalt,466946.9558,5365519.793
2044,Common Merganser,Waterfowl,A,May-98,Density,NA,Esquimalt,468022.7996,5365660.059
2045,American Coot,Coots,A,May-98,Density,NA,Esquimalt,468087.3002,5364929.618
2046,Killdeer,Shorebirds,A,May-98,Density,NA,Sooke,451286.2766,5358480.468
2047,Western Sandpiper,Shorebirds,A,May-98,Density,8.5,Sooke,452242.4554,5358392.983
2048,California Gull,Gulls and Terns,A,May-98,Density,NA,Sooke,451584.7829,5358361.229
2049,Glaucous-winged Gull,Gulls and Terns,A,May-98,Density,46.3,Esquimalt,467104.734,5365726.234
2050,Belted Kingfisher,Kingfishers,A,May-98,Density,NA,Sooke,451264.0581,5358252.854
2051,Double-crested Cormorant,Cormorants,B,May-98,Density,14,Sooke,451470.2924,5358397.484
2052,Great Blue Heron,Herons,B,May-98,Density,NA,Sooke,451616.9188,5357615.962
2053,Trumpeter Swan,Waterfowl,B,May-98,Density,NA,Sooke,451785.393,5357674.421
2054,Canada Goose,Waterfowl,B,May-98,Density,74.8,Sooke,450124.8891,5358111.154
2055,Mallard,Waterfowl,B,May-98,Density,NA,Sooke,451184.6521,5359708.702
2056,Eurasian Wigeon,Waterfowl,B,May-98,Density,NA,Sooke,452619.6288,5358086.496
2057,American Wigeon,Waterfowl,B,May-98,Density,NA,Esquimalt,467394.9108,5365067.861
2058,Canvasback,Waterfowl,B,May-98,Density,NA,Esquimalt,467403.3193,5364479.188
2059,Greater Scaup,Waterfowl,B,May-98,Density,NA,Sooke,451012.7272,5358002.959
2060,scaup sp.,Waterfowl,B,May-98,Density,NA,Sooke,451599.498,5357499.254
2061,Bufflehead,Waterfowl,B,May-98,Density,NA,Esquimalt,467027.7406,5365353.253
2062,Hooded Merganser,Waterfowl,B,May-98,Density,NA,Sooke,451696.9874,5359157.999
2063,Common Merganser,Waterfowl,B,May-98,Density,NA,Esquimalt,467595.2944,5365411.048
2064,Red-breasted Merganser,Waterfowl,B,May-98,Density,NA,Sooke,450518.4849,5357509.834
2065,Western Sandpiper,Shorebirds,B,May-98,Density,NA,Sooke,450228.9997,5359046.736
2066,Least Sandpiper,Shorebirds,B,May-98,Density,NA,Sooke,451859.4878,5358438.771
2067,Mew Gull,Gulls and Terns,B,May-98,Density,NA,Sooke,449846.5,5359441.397
2068,California Gull,Gulls and Terns,B,May-98,Density,NA,Sooke,450075.1344,5359447.73
2069,Glaucous-winged Gull,Gulls and Terns,B,May-98,Density,56.1,Sooke,451003.1832,5359645.946
2070,Belted Kingfisher,Kingfishers,B,May-98,Density,NA,Sooke,450691.6492,5359019.623
2071,Red-throated Loon,Loons and Grebes,All,Sep-98,Density,0.1,Sooke,450041.6664,5358545.863
2072,Pacific Loon,Loons and Grebes,All,Sep-98,Density,NA,Esquimalt,466948.1097,5365513.308
2073,Common Loon,Loons and Grebes,All,Sep-98,Density,0.2,Esquimalt,467351.575,5366079.915
2074,Yellow-billed Loon,Loons and Grebes,All,Sep-98,Density,NA,Esquimalt,467573.701,5365920.294
2075,Pied--bllled Grebe,Loons and Grebes,All,Sep-98,Density,NA,Esquimalt,467183.6055,5364516.193
2076,Eared Grebe,Loons and Grebes,All,Sep-98,Density,NA,Esquimalt,468366.8754,5364343.213
2077,Red-necked Grebe,Loons and Grebes,All,Sep-98,Density,0.1,Esquimalt,468012.7759,5365629.532
2078,Horned Grebe,Loons and Grebes,All,Sep-98,Density,NA,Esquimalt,468854.6594,5364523.217
2079,Western Grebe,Loons and Grebes,All,Sep-98,Density,0.1,Esquimalt,466799.2403,5366543.269
2080,Double-crested Cormorant,Cormorants,All,Sep-98,Density,2.6,Esquimalt,467563.3305,5365288.862
2081,Brandt's Cormorant,Cormorants,All,Sep-98,Density,NA,Esquimalt,468408.0011,5364544.35
2082,Pelagic Cormorant,Cormorants,All,Sep-98,Density,0.1,Esquimalt,467521.5293,5365287.082
2083,Great Blue Heron,Herons,All,Sep-98,Density,0.9,Esquimalt,467582.4581,5366072.708
2084,Mute Swan,Waterfowl,All,Sep-98,Density,1.1,Sooke,449530.1143,5358071.128
2085,Trumpeter Swan,Waterfowl,All,Sep-98,Density,NA,Esquimalt,466813.4191,5366708.047
2086,Canada Goose,Waterfowl,All,Sep-98,Density,7.5,Esquimalt,467654.6877,5364721.34
2087,Brant,Waterfowl,All,Sep-98,Density,NA,Esquimalt,468271.2967,5364667.351
2088,Wood Duck,Waterfowl,All,Sep-98,Density,NA,Esquimalt,467142.6275,5365974.219
2089,Green-winged Teal,Waterfowl,All,Sep-98,Density,NA,Sooke,449599.786,5358422.144
2090,Gadwall,Waterfowl,All,Sep-98,Density,NA,Esquimalt,466689.6258,5366753.794
2091,Mallard,Waterfowl,All,Sep-98,Density,43.5,Sooke,451741.4537,5357400.678
2092,Northern Pintail,Waterfowl,All,Sep-98,Density,0.1,Esquimalt,466870.7967,5364709.47
2093,Eurasian Wigeon,Waterfowl,All,Sep-98,Density,NA,Sooke,452547.0042,5358157.935
2094,American Wigeon,Waterfowl,All,Sep-98,Density,1.8,Esquimalt,467097.9769,5365994.005
2095,Canvasback,Waterfowl,All,Sep-98,Density,NA,Esquimalt,467924.9068,5365629.771
2096,Greater Scaup,Waterfowl,All,Sep-98,Density,NA,Esquimalt,468258.9806,5364739.564
2097,Lesser Scaup,Waterfowl,All,Sep-98,Density,NA,Sooke,450995.864,5358223.746
2098,scaup sp.,Waterfowl,All,Sep-98,Density,NA,Esquimalt,467298.1415,5364543.832
2099,Harlequin Duck,Waterfowl,All,Sep-98,Density,NA,Sooke,450350.7707,5357748.178
2100,Oldsquaw,Waterfowl,All,Sep-98,Density,NA,Sooke,450727.8643,5357728.841
2101,Surf Seater,Waterfowl,All,Sep-98,Density,NA,Esquimalt,467776.6676,5365683.487
2102,White-w inged Scoter,Waterfowl,All,Sep-98,Density,NA,Sooke,452711.5588,5358793.831
2103,Common Goldeneye,Waterfowl,All,Sep-98,Density,NA,Esquimalt,467134.4507,5364912.822
2104,Bufflehead,Waterfowl,All,Sep-98,Density,NA,Sooke,450055.6032,5358563.2
2105,Hooded Merganser,Waterfowl,All,Sep-98,Density,0.3,Esquimalt,466395.0802,5367256.108
2106,Common Merganser,Waterfowl,All,Sep-98,Density,0.9,Esquimalt,467961.6052,5364511.126
2107,Red-breasted Merganser,Waterfowl,All,Sep-98,Density,NA,Esquimalt,468866.3066,5364572.094
2108,American Coot,Coots,All,Sep-98,Density,0.2,Sooke,450705.2227,5357487.574
2109,Semipalmated Plover,Shorebirds,All,Sep-98,Density,NA,Esquimalt,466834.9045,5366378.412
2110,Killdeer,Shorebirds,All,Sep-98,Density,2.2,Sooke,452563.5629,5357894.207
2111,Black-bellied Plover,Shorebirds,All,Sep-98,Density,1.6,Esquimalt,467537.9158,5365057.596
2112,Black Oystercatcher,Shorebirds,All,Sep-98,Density,0.6,Esquimalt,467081.8117,5366139.99
2113,Greater Yellowlegs,Shorebirds,All,Sep-98,Density,NA,Esquimalt,468324.6582,5364533.598
2114,Ruddy Turnstone,Shorebirds,All,Sep-98,Density,NA,Esquimalt,466424.0405,5366745.849
2115,Black Turnstone,Shorebirds,All,Sep-98,Density,5.3,Sooke,449629.939,5359056.059
2116,Dunlin,Shorebirds,All,Sep-98,Density,NA,Esquimalt,466566.0456,5366905.569
2117,Western Sandpiper,Shorebirds,All,Sep-98,Density,NA,Sooke,451001.3021,5357826.385
2118,Least Sandpiper,Shorebirds,All,Sep-98,Density,NA,Esquimalt,467913.7179,5365304.889
2119,Sanderllng,Shorebirds,All,Sep-98,Density,NA,Sooke,451576.4215,5359303.459
2120,Short-billed Dowitcher,Shorebirds,All,Sep-98,Density,NA,Esquimalt,466548.4423,5366459.558
2121,Common Snipe,Shorebirds,All,Sep-98,Density,NA,Esquimalt,466775.8803,5366364.646
2122,Red-necked Phalarope,Shorebirds,All,Sep-98,Density,NA,Sooke,450886.2479,5358086.741
2123,Bonaparte's Gull,Gulls and Terns,All,Sep-98,Density,0.3,Esquimalt,467163.5294,5366507.436
2124,Heermann's Gull,Gulls and Terns,All,Sep-98,Density,3.5,Esquimalt,467507.7029,5365392.108
2125,Mew Gull,Gulls and Terns,All,Sep-98,Density,31.1,Esquimalt,467402.1881,5364675.18
2126,California Gull,Gulls and Terns,All,Sep-98,Density,8.5,Esquimalt,467355.2292,5365222.984
2127,Thayer's Gull,Gulls and Terns,All,Sep-98,Density,NA,Sooke,452519.9096,5357239.372
2128,Glaucous-winged Gull,Gulls and Terns,All,Sep-98,Density,42,Esquimalt,467535.952,5365508.871
2129,Western Gull,Gulls and Terns,All,Sep-98,Density,NA,Sooke,451182.1955,5359530.859
2130,gull sp.,Gulls and Terns,All,Sep-98,Density,NA,Esquimalt,467013.1769,5366092.686
2131,Caspian Tern,Gulls and Terns,All,Sep-98,Density,NA,Esquimalt,467232.3169,5366559.752
2132,Common Murra,Auks,All,Sep-98,Density,2.3,Sooke,451385.2881,5359124.558
2133,Pigeon Guillemot,Auks,All,Sep-98,Density,NA,Sooke,451907.2232,5358785.329
2134,Marbled Murrrelet,Auks,All,Sep-98,Density,NA,Esquimalt,467412.9247,5365502.619
2135,Cassln's Auklet,Auks,All,Sep-98,Density,NA,Sooke,451032.4543,5358728.705
2136,Rhinoceros Auklet,Auks,All,Sep-98,Density,16.7,Sooke,452698.1522,5358245.211
2137,Pied-billed Grebe,Loons and Grebes,A,Sep-98,Density,NA,Esquimalt,467433.9725,5365080.703
2138,Horned Grebe,Loons and Grebes,A,Sep-98,Density,NA,Sooke,451684.801,5357843.353
2139,Western Grebe,Loons and Grebes,A,Sep-98,Density,NA,Esquimalt,466741.7865,5366915.675
2140,Double-crested Cormorant,Cormorants,A,Sep-98,Density,3.7,Sooke,449559.2872,5358976.993
2141,Great Blue Heron,Herons,A,Sep-98,Density,1.2,Esquimalt,466731.6765,5366742.945
2142,Mute Swan,Waterfowl,A,Sep-98,Density,6.1,Esquimalt,467061.0951,5366671.785
2143,Canada Goose,Waterfowl,A,Sep-98,Density,41.5,Sooke,450883.9481,5359097.62
2144,Wood Duck,Waterfowl,A,Sep-98,Density,NA,Sooke,450762.8186,5357324.441
2145,Green-winged Teal,Waterfowl,A,Sep-98,Density,NA,Sooke,450579.8776,5358116.975
2146,Gadwall,Waterfowl,A,Sep-98,Density,NA,Sooke,449867.2925,5357810.663
2147,Mallard,Waterfowl,A,Sep-98,Density,234.1,Esquimalt,467048.5046,5364811.65
2148,Northern Pintail,Waterfowl,A,Sep-98,Density,NA,Esquimalt,467283.4604,5366055.335
2149,Eurasian Wigeon,Waterfowl,A,Sep-98,Density,NA,Esquimalt,467228.2775,5364495.647
2150,American Wigeon,Waterfowl,A,Sep-98,Density,NA,Sooke,451815.9592,5358296.373
2151,Canvasback,Waterfowl,A,Sep-98,Density,NA,Sooke,452290.4879,5358532.614
2152,Greater Scaup,Waterfowl,A,Sep-98,Density,NA,Esquimalt,467441.6366,5366252.052
2153,Lesser Scaup,Waterfowl,A,Sep-98,Density,NA,Esquimalt,467961.4593,5365657.729
2154,Scaup sp.,Waterfowl,A,Sep-98,Density,NA,Esquimalt,468137.6386,5364841.942
2155,Surf Scoter,Waterfowl,A,Sep-98,Density,NA,Sooke,450728.7593,5357615.014
2156,Common Goldeneye,Waterfowl,A,Sep-98,Density,NA,Esquimalt,467441.3578,5365587.377
2157,Bufflehead,Waterfowl,A,Sep-98,Density,NA,Sooke,450886.2836,5358188.828
2158,Hooded Merganser,Waterfowl,A,Sep-98,Density,2.4,Esquimalt,467628.2894,5365948.138
2159,Common Merganser,Waterfowl,A,Sep-98,Density,NA,Sooke,451534.8528,5359209.378
2160,American Coot,Coots,A,Sep-98,Density,NA,Esquimalt,467702.399,5365721.795
2161,Killdeer,Shorebirds,A,Sep-98,Density,13.4,Sooke,449591.3924,5357991.769
2162,Western Sandpiper,Shorebirds,A,Sep-98,Density,NA,Sooke,450539.8495,5357625.211
2163,California Gull,Gulls and Terns,A,Sep-98,Density,NA,Esquimalt,467993.6765,5364940.767
2164,Glaucous-winged Gull,Gulls and Terns,A,Sep-98,Density,17.1,Esquimalt,467792.0459,5366060.188
2165,Belted Kingfisher,Kingfishers,A,Sep-98,Density,1.2,Esquimalt,466290.8449,5367083.252
2166,Double-crested Cormorant,Cormorants,B,Sep-98,Density,46.7,Sooke,451970.2131,5358762.52
2167,Great Blue Heron,Herons,B,Sep-98,Density,NA,Esquimalt,467524.8124,5364854.279
2168,Trumpeter Swan,Waterfowl,B,Sep-98,Density,NA,Sooke,449696.7939,5359567.424
2169,Canada Goose,Waterfowl,B,Sep-98,Density,14,Sooke,452352.8138,5358340.933
2170,Mallard,Waterfowl,B,Sep-98,Density,93.5,Esquimalt,467089.753,5365580.28
2171,Eurasian Wigeon,Waterfowl,B,Sep-98,Density,NA,Sooke,451131.562,5359563.284
2172,American Wigeon,Waterfowl,B,Sep-98,Density,NA,Sooke,451564.4125,5359211.999
2173,Canvasback,Waterfowl,B,Sep-98,Density,NA,Sooke,450362.918,5358379.385
2174,Greater Scaup,Waterfowl,B,Sep-98,Density,NA,Esquimalt,466919.8993,5366739.173
2175,scaup sp.,Waterfowl,B,Sep-98,Density,NA,Sooke,450635.9762,5359020.316
2176,Bufflehead,Waterfowl,B,Sep-98,Density,NA,Sooke,450925.9714,5358911.93
2177,Hooded Merganser,Waterfowl,B,Sep-98,Density,NA,Esquimalt,467680.2855,5366081.611
2178,Common Merganser,Waterfowl,B,Sep-98,Density,NA,Sooke,451876.1893,5357684.721
2179,Red-breasted Merganser,Waterfowl,B,Sep-98,Density,NA,Sooke,450006.7201,5359233.03
2180,Western Sandpiper,Shorebirds,B,Sep-98,Density,NA,Sooke,449693.5418,5359047.89
2181,Least Sandpiper,Shorebirds,B,Sep-98,Density,NA,Sooke,452320.6957,5358158.938
2182,Mew Gull,Gulls and Terns,B,Sep-98,Density,NA,Esquimalt,467268.7888,5365456.636
2183,California Gull,Gulls and Terns,B,Sep-98,Density,NA,Sooke,451309.1464,5358142.493
2184,Glaucous-winged Gull,Gulls and Terns,B,Sep-98,Density,46.7,Sooke,449777.2171,5358415.394
2185,Belted Kingfisher,Kingfishers,B,Sep-98,Density,4.7,Esquimalt,467363.042,5364688.067
2186,Red-throated Loon,Loons and Grebes,All,Jan/Feb 1999,Density,0.2,Sooke,451088.6615,5357501.665
2187,Pacific Loon,Loons and Grebes,All,Jan/Feb 1999,Density,1.4,Esquimalt,467431.4962,5365578.353
2188,Common Loon,Loons and Grebes,All,Jan/Feb 1999,Density,0.2,Sooke,450067.3403,5358039.694
2189,Yellow-billed Loon,Loons and Grebes,All,Jan/Feb 1999,Density,NA,Esquimalt,467800.0818,5364789.686
2190,Pied--bllled Grebe,Loons and Grebes,All,Jan/Feb 1999,Density,0.4,Sooke,451042.2796,5357710.243
2191,Eared Grebe,Loons and Grebes,All,Jan/Feb 1999,Density,NA,Esquimalt,467670.8002,5365843.87
2192,Red-necked Grebe,Loons and Grebes,All,Jan/Feb 1999,Density,2.5,Sooke,449525.8235,5359280.074
2193,Horned Grebe,Loons and Grebes,All,Jan/Feb 1999,Density,1.1,Sooke,449863.1909,5358891.78
2194,Western Grebe,Loons and Grebes,All,Jan/Feb 1999,Density,0.2,Esquimalt,467299.3357,5365297.15
2195,Double-crested Cormorant,Cormorants,All,Jan/Feb 1999,Density,6.4,Sooke,449663.486,5358292.69
2196,Brandt's Cormorant,Cormorants,All,Jan/Feb 1999,Density,0.3,Esquimalt,467476.9754,5365734.679
2197,Pelagic Cormorant,Cormorants,All,Jan/Feb 1999,Density,0.7,Sooke,452655.0859,5358594.963
2198,Great Blue Heron,Herons,All,Jan/Feb 1999,Density,0.9,Esquimalt,468223.3972,5364541.181
2199,Mute Swan,Waterfowl,All,Jan/Feb 1999,Density,0.5,Sooke,449680.4834,5358248.063
2200,Trumpeter Swan,Waterfowl,All,Jan/Feb 1999,Density,NA,Esquimalt,468180.8912,5364441.862
2201,Canada Goose,Waterfowl,All,Jan/Feb 1999,Density,15,Sooke,450263.6305,5359106.906
2202,Brant,Waterfowl,All,Jan/Feb 1999,Density,NA,Sooke,450997.3652,5357909.819
2203,Wood Duck,Waterfowl,All,Jan/Feb 1999,Density,NA,Esquimalt,466251.3705,5367033.152
2204,Green-winged Teal,Waterfowl,All,Jan/Feb 1999,Density,1.5,Sooke,451529.3507,5358287.459
2205,Gadwall,Waterfowl,All,Jan/Feb 1999,Density,0.1,Esquimalt,467112.7274,5366671.325
2206,Mallard,Waterfowl,All,Jan/Feb 1999,Density,26.9,Esquimalt,467081.2625,5365980.118
2207,Northern Pintail,Waterfowl,All,Jan/Feb 1999,Density,0.2,Sooke,451835.7079,5358287.692
2208,Eurasian Wigeon,Waterfowl,All,Jan/Feb 1999,Density,0.2,Esquimalt,467405.6875,5364384.531
